Team,Conference,plays,drives,ppa,totalPPA,successRate,explosiveness,powerSuccess,stuffRate,lineYards,lineYardsTotal,secondLevelYards,secondLevelYardsTotal,openFieldYards,openFieldYardsTotal,standardDowns_ppa,standardDowns_successRate,standardDowns_explosiveness,passingDowns_ppa,passingDowns_successRate,passingDowns_explosiveness,rushingPlays_ppa,rushingPlays_totalPPA,rushingPlays_successRate,rushingPlays_explosiveness,passingPlays_ppa,passingPlays_totalPPA,passingPlays_successRate,passingPlays_explosiveness
Boise State,Mountain West,62,11.78571429,0.195635531,12.38981916,0.403961235,1.375309974,0.751190476,0.181146964,2.994666954,87.21428571,1.044315062,31.28571429,1.358560937,42.30769231,0.125684852,0.450225914,1.155484822,0.349952594,0.309787677,2.064897317,0.144905618,4.654877938,0.416405399,1.076800811,0.28671409,8.684606753,0.386747651,1.727891164
Boston College,ACC,61.15384615,11.15384615,0.241296239,15.08344985,0.425544756,1.340464408,0.809432234,0.164065274,3.006021351,106.7692308,1.091869122,38.38461538,1.559474342,55,0.186275015,0.475040314,1.121834718,0.354709608,0.308928693,2.053439991,0.131836197,5.304178839,0.416948668,1.077861146,0.449082594,10.85371847,0.455557722,1.669487404
Bowling Green,MAC,61.84615385,11.38461538,0.143587634,8.410113208,0.423471536,1.214764623,0.708241758,0.108073029,3.241898041,110.7692308,1.14952959,38.38461538,1.034713932,32.61538462,0.057944607,0.484475307,0.977322737,0.303579684,0.29032097,1.880669153,0.19433966,6.898934382,0.46795932,0.964811956,0.239229185,5.171359602,0.369838027,1.779276598
Buffalo,MAC,61.63636364,12.18181818,0.13742111,8.280064955,0.385061518,1.322736342,0.690909091,0.196345714,2.783033816,94.45454545,1.211887276,41.72727273,2.207497107,74.81818182,0.080217737,0.438724082,1.099727133,0.250226663,0.284971763,1.980150599,0.134773976,5.042693553,0.365489865,1.249914386,0.216157559,4.731145884,0.412781401,1.429868044
California,ACC,71.84615385,13.23076923,0.208408739,14.9747117,0.441175086,1.271847521,0.738178488,0.167855096,2.909905272,98.61538462,1.073745268,36.38461538,0.930531135,33.75,0.148882439,0.478632089,1.135832244,0.377242077,0.347507654,1.836352512,0.08108549,3.6367566,0.43356719,0.970280024,0.343871841,12.09511535,0.452937933,1.548735363
Central Michigan,MAC,63.5,11.83333333,0.299333077,19.34690669,0.446371411,1.327271973,0.790972222,0.13588896,3.310115477,107.9166667,1.254984472,40.5,1.564426249,51,0.276602628,0.515235527,1.160697434,0.349052798,0.296485773,1.997057128,0.220184936,7.553554664,0.4604656,1.048876364,0.363724184,12.11546682,0.424986445,1.612524414
Charlotte,American,62.5,12.41666667,0.147122637,10.22284768,0.400422865,1.302309111,0.661111111,0.203143678,2.950650364,101.25,0.999556965,33.75,1.333223672,47.25,0.083496818,0.434781382,1.090522747,0.235214422,0.302248879,1.958411086,0.109546938,4.0845455,0.410274448,0.977478527,0.255341105,8.025227212,0.393924034,2.08337773
Cincinnati,Big 12,59.16666667,11.25,0.314848614,18.50196234,0.418736351,1.55637637,0.740277778,0.230260474,3.023361066,95.5,1.384336705,43.75,1.951860667,65.08333333,0.233966358,0.441894913,1.373579327,0.421202869,0.362600249,1.909842185,0.239452364,8.448374446,0.421436611,1.301486243,0.438571978,10.66272915,0.426862831,1.803481155
Clemson,ACC,60.07692308,13.07692308,0.064395065,4.146702817,0.324421123,1.420852125,0.766666667,0.153379606,2.819410229,79,0.855601699,23.46153846,1.492080112,38.83333333,-0.002462486,0.380592685,1.272930524,0.14387973,0.234607114,1.819136111,0.105331511,3.243209643,0.338313719,1.214516065,0.033489639,1.576265856,0.319415863,1.593094091
Coastal Carolina,Sun Belt,65.07692308,11.46153846,0.164608283,10.73987692,0.437723704,1.251722969,0.790842491,0.147490979,3.348279534,113.9230769,1.278339164,43.15384615,1.091359039,36.23076923,0.098367848,0.477874845,1.029952785,0.295814469,0.34221104,1.914483879,0.194583169,6.735701373,0.459937403,0.98554419,-0.008060643,4.976448293,0.377129406,1.566282352
Colorado,Big 12,70.41666667,12.33333333,0.287226655,20.01732283,0.468240946,1.296407674,0.853703704,0.186079658,3.082935335,107.5833333,1.187120828,40.75,1.384752606,46.58333333,0.203671251,0.504832589,1.060172885,0.466226147,0.375660889,2.008800776,0.226564549,7.835936137,0.463946034,1.07368936,0.363179872,12.95808408,0.463181074,1.588763503
Colorado State,Mountain West,71.66666667,12.25,0.182241765,13.19416171,0.426748141,1.227097112,0.765542328,0.188843132,3.04017761,112.8333333,1.211422622,42.83333333,1.259223913,42.58333333,0.128166739,0.486342777,0.981515374,0.302718352,0.298179907,2.134462234,0.111047091,4.078938799,0.426517926,1.054217318,0.290802363,10.49629265,0.423992822,1.458100878
